snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
499,cloud-0,4.5520751953125,227.9775135312903,180.341084025214,69.8332043909856,44523444968611.85
499,cloud-1,4.5520751953125,210.58668191440296,211.91357762199672,64.41509114932259,36389.57918251379
499,cloud-2,4.5520751953125,136.23954784942333,214.58231197843685,27.956389902099772,22875.13489159662
499,cloud-3,4.5520751953125,106.62466505848451,205.67387165701783,36.80719349194413,13790.932938083297
499,cloud-4,4.5520751953125,138.89478731013406,213.15130986394087,28.64200623685562,10944.722332958161
499,cloud-5,4.5520751953125,132.71896508661993,213.8185158447644,26.160360826564073,10303.17258780718
498,cloud-0,4.552072143554688,227.97751698408302,180.3410926595238,69.83320152206812,42377436668035.5
498,cloud-1,4.552072143554688,210.58667840831188,211.9135844471433,64.41509098332656,36388.48460708158
498,cloud-2,4.552072143554688,136.23953814710757,214.58231401069807,27.956397703126157,22874.209587163077
498,cloud-3,4.552072143554688,106.62466665388769,205.67387327751504,36.807192461140744,13791.904619176072
498,cloud-4,4.552072143554688,138.89478122884185,213.15131089327906,28.642008188786022,10944.938522008817
498,cloud-5,4.552072143554688,132.7189589117415,213.8185237007148,26.160369128709533,10303.096791084483
497,cloud-0,4.552069091796875,227.97752037583018,180.34110227650723,69.83319846433614,40542285140023.625
497,cloud-1,4.552069091796875,210.58667490212804,211.91359127233034,64.41509081741293,36387.389686170434
497,cloud-2,4.552069091796875,136.23952844485348,214.58231604283188,27.956405504240138,22873.28382458144
497,cloud-3,4.552069091796875,106.6246682499092,205.6738748984275,36.80719142952876,13792.87564487877
497,cloud-4,4.552069091796875,138.89477514753816,213.15131192264036,28.642010140729894,10945.1546848884
497,cloud-5,4.552069091796875,132.7189527368047,213.8185315566409,26.160377430856556,10303.020975602316
496,cloud-0,4.552066040039063,227.97752373501686,180.34111119105353,69.83319579418699,39201059047233.875
496,cloud-1,4.552066040039063,210.58667139585054,211.91359809755807,64.4150906515813,36386.29442325013
496,cloud-2,4.552066040039063,136.239518742661,214.5823180748381,27.9564133054414,22872.357607350914
496,cloud-3,4.552066040039063,106.62466984655114,205.67387651975423,36.80719039710448,13793.846016111382
496,cloud-4,4.552066040039063,138.8947690662231,213.1513129520244,28.64201209268731,10945.370822294373
496,cloud-5,4.552066040039063,132.71894656180848,213.81853941254178,26.160385733006365,10302.945142068318
495,cloud-0,4.55206298828125,227.9775270307473,180.3411201510633,69.83319318234788,37775785096416.57
495,cloud-1,4.55206298828125,210.5866678894793,211.91360492282718,64.41509048583168,36385.19882904381
495,cloud-2,4.55206298828125,136.2395090405299,214.5823201067173,27.956421106729366,22871.430933338223
495,cloud-3,4.55206298828125,106.62467144381482,205.6738781414993,36.807189363867565,13794.815722699544
495,cloud-4,4.55206298828125,138.8947629848964,213.15131398143134,28.642014044657657,10945.58693352159
495,cloud-5,4.55206298828125,132.71894038675367,213.81854726841797,26.160394035158518,10302.869289191422
494,cloud-0,4.552059936523437,227.977530272888,180.34112909510168,69.83319058731726,36476907535717.836
494,cloud-1,4.552059936523437,210.5866643830149,211.91361174813667,64.41509032016447,36384.102899190184
494,cloud-2,4.552059936523437,136.23949933846063,214.58232213846895,27.956428908105135,22870.503803059764
494,cloud-3,4.552059936523437,106.62467304170121,205.67387976365927,36.80718832981453,13795.784763493912
494,cloud-4,4.552059936523437,138.89475690355783,213.1513150108613,28.642015996642375,10945.803018493803
494,cloud-5,4.552059936523437,132.71893421163986,213.81855512426853,26.160402337312917,10302.793418289935
493,cloud-0,4.5520568847656255,227.977533483181,180.3411380246303,69.83318796030687,35396483142814.016
493,cloud-1,4.5520568847656255,210.58666087645634,211.9136185734871,64.41509015457912,36383.006637973485
493,cloud-2,4.5520568847656255,136.23948963645296,214.58232417009327,27.956436709568727,22869.576215916528
493,cloud-3,4.5520568847656255,106.62467464021239,205.67388138623454,36.80718729494466,13796.753137401069
493,cloud-4,4.5520568847656255,138.89475082220773,213.151316040314,28.64201794864018,10946.019076723182
493,cloud-5,4.5520568847656255,132.71892803646682,213.81856298009382,26.160410639469717,10302.71752888232
492,cloud-0,4.552053833007813,227.97753629639928,180.34114630974022,69.83318459456613,34542003139609.15
